timestamp,machine_id,operator_id,engine_hours,fuel_used_L,load_cycles,idling_time_min,seatbelt_status,safety_alert_triggered
2026-09-13T07:45:00Z,CAT-336-EX01,OP-401,3420.78,474.5,22,18.9,Fastened,False
2026-09-13T08:39:00Z,CAT-336-EX01,OP-401,3421.55,491.44,34,34.2,Fastened,False
2026-09-13T09:50:00Z,CAT-336-EX01,OP-401,3422.45,514.83,36,16.5,Fastened,False
2026-09-13T10:53:00Z,CAT-336-EX01,OP-401,3423.39,537.11,22,18.4,Fastened,False
2026-09-13T11:11:00Z,CAT-336-EX01,OP-401,3424.16,562.17,37,11.2,Fastened,False
2026-09-13T12:34:00Z,CAT-336-EX01,OP-401,3425.03,583.38,35,21.7,Fastened,False
2026-09-13T13:28:00Z,CAT-336-EX01,OP-401,3425.91,601.85,27,34.3,Fastened,False
2026-09-13T14:11:00Z,CAT-336-EX01,OP-401,3426.75,625.73,23,15.4,Fastened,False
2026-09-13T15:22:00Z,CAT-336-EX01,OP-401,3427.66,640.49,35,38.3,Fastened,False
2026-09-13T16:29:00Z,CAT-336-EX01,OP-401,3428.47,663.9,25,21.1,Fastened,False
2026-09-13T17:54:00Z,CAT-336-EX01,OP-401,3429.23,685.38,30,19.9,Fastened,False
2026-09-13T18:41:00Z,CAT-336-EX01,OP-401,3430.18,713.01,30,13.8,Fastened,False
2026-09-14T07:14:00Z,CAT-336-EX01,OP-401,3430.99,740.16,26,13.0,Fastened,False
2026-09-14T08:42:00Z,CAT-336-EX01,OP-401,3431.83,766.23,34,12.6,Fastened,False
2026-09-14T09:12:00Z,CAT-336-EX01,OP-401,3432.62,790.01,37,11.9,Fastened,False
2026-09-14T10:34:00Z,CAT-336-EX01,OP-401,3433.49,812.5,18,21.7,Fastened,False
2026-09-14T11:39:00Z,CAT-336-EX01,OP-401,3434.41,835.24,27,19.2,Fastened,False
2026-09-14T12:51:00Z,CAT-336-EX01,OP-401,3435.36,860.81,23,13.2,Fastened,False
2026-09-14T13:45:00Z,CAT-336-EX01,OP-401,3436.18,883.71,22,17.7,Fastened,False
2026-09-14T14:54:00Z,CAT-336-EX01,OP-401,3437.14,904.2,33,21.0,Fastened,False
2026-09-14T15:24:00Z,CAT-336-EX01,OP-401,3437.95,927.78,20,12.9,Fastened,False
2026-09-14T16:09:00Z,CAT-336-EX01,OP-401,3438.92,941.6,35,38.6,Fastened,False
2026-09-14T17:43:00Z,CAT-336-EX01,OP-401,3439.77,968.74,24,12.5,Fastened,False
2026-09-14T18:47:00Z,CAT-336-EX01,OP-401,3440.67,991.97,21,15.3,Fastened,False
2026-09-15T07:06:00Z,CAT-336-EX01,OP-401,3441.56,1018.8,20,12.8,Fastened,False
2026-09-15T08:09:00Z,CAT-336-EX01,OP-401,3442.52,1033.88,33,34.4,Fastened,False
2026-09-15T09:41:00Z,CAT-336-EX01,OP-401,3443.4,1057.81,31,12.9,Fastened,False
2026-09-15T10:32:00Z,CAT-336-EX01,OP-401,3444.23,1083.99,19,14.9,Fastened,False
2026-09-15T11:11:00Z,CAT-336-EX01,OP-401,3444.99,1105.84,21,18.7,Fastened,False
2026-09-15T12:33:00Z,CAT-336-EX01,OP-401,3445.77,1131.87,20,12.2,Fastened,False
2026-09-15T13:40:00Z,CAT-336-EX01,OP-401,3446.54,1158.2,18,17.8,Fastened,False
2026-09-15T14:20:00Z,CAT-336-EX01,OP-401,3447.33,1184.63,30,15.8,Fastened,False
2026-09-15T15:05:00Z,CAT-336-EX01,OP-401,3448.31,1209.3,32,13.2,Fastened,False
2026-09-15T16:51:00Z,CAT-336-EX01,OP-401,3449.29,1231.74,22,16.7,Fastened,False
2026-09-15T17:08:00Z,CAT-336-EX01,OP-401,3450.17,1253.72,19,16.5,Fastened,False
2026-09-15T18:38:00Z,CAT-336-EX01,OP-401,3450.96,1269.6,37,33.9,Fastened,False
2026-09-16T07:30:00Z,CAT-336-EX01,OP-401,3451.74,1289.58,37,20.7,Fastened,False
2026-09-16T08:47:00Z,CAT-336-EX01,OP-401,3452.62,1314.7,24,16.3,Fastened,False
2026-09-16T09:21:00Z,CAT-336-EX01,OP-401,3453.46,1340.73,28,18.1,Fastened,False
2026-09-16T10:05:00Z,CAT-336-EX01,OP-401,3454.32,1362.79,20,22.0,Fastened,False
2026-09-16T11:13:00Z,CAT-336-EX01,OP-401,3455.28,1371.13,3,53.0,Unfastened,False
2026-09-16T12:24:00Z,CAT-336-EX01,OP-401,3456.17,1393.87,18,21.8,Fastened,False
2026-09-16T13:47:00Z,CAT-336-EX01,OP-401,3456.94,1403.94,7,48.1,Fastened,False
2026-09-16T14:43:00Z,CAT-336-EX01,OP-401,3457.74,1413.77,6,51.5,Fastened,False
2026-09-16T15:08:00Z,CAT-336-EX01,OP-401,3458.51,1424.63,8,48.2,Unfastened,False
2026-09-16T16:15:00Z,CAT-336-EX01,OP-401,3459.43,1447.2,18,16.6,Fastened,False
2026-09-16T17:49:00Z,CAT-336-EX01,OP-401,3460.39,1471.68,36,16.5,Fastened,False
2026-09-16T18:07:00Z,CAT-336-EX01,OP-401,3461.21,1495.66,19,20.8,Fastened,False
2026-09-17T07:20:00Z,CAT-336-EX01,OP-401,3462.11,1523.61,31,14.2,Fastened,False
2026-09-17T08:20:00Z,CAT-336-EX01,OP-401,3463.06,1543.7,31,21.7,Fastened,False
2026-09-17T09:26:00Z,CAT-336-EX01,OP-401,3463.99,1567.62,25,14.9,Fastened,False
