timestamp,location,temperature,rainfall,visibility,wind_speed,ground_condition,terrain_slope,ambient_noise_level
2026-09-14T07:40:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,7.2,82.2
2026-09-14T08:08:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,5.1,70.1
2026-09-14T09:55:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,6.2,66.1
2026-09-14T10:41:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,9.2,71.1
2026-09-14T11:37:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,4.6,80.6
2026-09-14T12:46:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,3.7,70.3
2026-09-14T13:13:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,8.3,81.1
2026-09-14T14:18:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,3.4,74.9
2026-09-14T15:35:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,7.5,86.5
2026-09-14T16:47:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,5.8,85.2
2026-09-14T17:20:00Z,North Trench Sector B,17.1,10.8,Moderate (Rain Haze),15.0,Soft Mud / Slippery,5.9,74.7
2026-09-15T07:19:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,3.6,82.6
2026-09-15T08:07:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,7.9,70.7
2026-09-15T09:10:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,8.4,73.8
2026-09-15T10:33:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,4.2,69.9
2026-09-15T11:23:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,9.8,75.7
2026-09-15T12:38:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,5.5,85.1
2026-09-15T13:48:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,5.0,85.5
2026-09-15T14:33:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,8.7,63.0
2026-09-15T15:05:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,3.5,72.1
2026-09-15T16:44:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,10.5,83.7
2026-09-15T17:17:00Z,North Trench Sector B,26.0,0.0,Optimal Clear,23.2,Firm Dry,4.5,71.7
2026-09-16T07:41:00Z,North Trench Sector B,18.2,12.7,Moderate (Rain Haze),22.2,Soft Mud / Slippery,10.1,82.4
2026-09-16T08:14:00Z,North Trench Sector B,18.2,12.7,Moderate (Rain Haze),22.2,Soft Mud / Slippery,4.3,76.6
2026-09-16T09:16:00Z,North Trench Sector B,18.2,12.7,Moderate (Rain Haze),22.2,Soft Mud / Slippery,2.8,81.6
